No.,Material Code,Nozzle Diameter,Print Speed,Nozzle Temperature,Stress Level,Fatigue Lifetime
[-],[-],[mm],[mm/s],[˚C],[MPa],[cycle]
1,PLA-0.2-5-180,0.2,5,180,5,942000
2,PLA-0.2-5-180,0.2,5,180,7.5,600
3,PLA-0.2-5-180,0.2,5,180,7.5,597800
4,PLA-0.2-5-180,0.2,5,180,10,400
5,PLA-0.2-5-180,0.2,5,180,10,148900
6,PLA-0.2-5-180,0.2,5,180,12.5,1000
7,PLA-0.2-5-210,0.2,5,210,2.5,1500000
8,PLA-0.2-5-210,0.2,5,210,5,1500000
9,PLA-0.2-5-210,0.2,5,210,5,1500000
10,PLA-0.2-5-210,0.2,5,210,5,500
11,PLA-0.2-5-210,0.2,5,210,7.5,3000
12,PLA-0.2-5-210,0.2,5,210,7.5,78200
13,PLA-0.2-5-210,0.2,5,210,7.5,69500
14,PLA-0.2-5-210,0.2,5,210,10,61900
15,PLA-0.2-5-210,0.2,5,210,10,41500
16,PLA-0.2-5-240,0.2,5,240,2.5,1500000
17,PLA-0.2-5-240,0.2,5,240,5,1300
18,PLA-0.2-5-240,0.2,5,240,5,1500000
19,PLA-0.2-5-240,0.2,5,240,5,714000
20,PLA-0.2-5-240,0.2,5,240,7.5,500
21,PLA-0.2-5-240,0.2,5,240,7.5,500
22,PLA-0.2-5-240,0.2,5,240,7.5,278800
23,PLA-0.2-5-240,0.2,5,240,7.5,176300
24,PLA-0.2-5-240,0.2,5,240,10,600
25,PLA-0.2-5-240,0.2,5,240,10,98000
26,PLA-0.2-10-180,0.2,10,180,7.5,277200
27,PLA-0.2-10-180,0.2,10,180,10,96300
28,PLA-0.2-10-180,0.2,10,180,10,72100
29,PLA-0.2-10-180,0.2,10,180,12.5,400
30,PLA-0.2-10-180,0.2,10,180,12.5,45900
31,PLA-0.2-10-180,0.2,10,180,15,400
32,PLA-0.2-10-210,0.2,10,210,7.5,212600
33,PLA-0.2-10-210,0.2,10,210,10,600
34,PLA-0.2-10-210,0.2,10,210,10,177000
35,PLA-0.2-10-210,0.2,10,210,12.5,20400
36,PLA-0.2-10-210,0.2,10,210,12.5,400
37,PLA-0.2-10-210,0.2,10,210,15,18000
38,PLA-0.2-10-240,0.2,10,240,5,1500000
39,PLA-0.2-10-240,0.2,10,240,7.5,700
40,PLA-0.2-10-240,0.2,10,240,7.5,73100
41,PLA-0.2-10-240,0.2,10,240,7.5,121000
42,PLA-0.2-10-240,0.2,10,240,10,67000
43,PLA-0.2-10-240,0.2,10,240,12.5,21500
44,PLA-0.2-10-240,0.2,10,240,15,2000
45,PLA-0.2-15-180,0.2,15,180,5,42000
46,PLA-0.2-15-180,0.2,15,180,7.5,13000
47,PLA-0.2-15-180,0.2,15,180,7.5,1000
48,PLA-0.2-15-180,0.2,15,180,10,4000
49,PLA-0.2-15-180,0.2,15,180,10,500
50,PLA-0.2-15-180,0.2,15,180,12.5,3000
51,PLA-0.2-15-210,0.2,15,210,5,2000
52,PLA-0.2-15-210,0.2,15,210,5,1500000
53,PLA-0.2-15-210,0.2,15,210,7.5,2700
54,PLA-0.2-15-210,0.2,15,210,7.5,66700
55,PLA-0.2-15-210,0.2,15,210,7.5,1000
56,PLA-0.2-15-210,0.2,15,210,10,146500
57,PLA-0.2-15-210,0.2,15,210,12.5,500
58,PLA-0.2-15-210,0.2,15,210,12.5,3000
59,PLA-0.2-15-240,0.2,15,240,5,868900
60,PLA-0.2-15-240,0.2,15,240,7.5,41000
61,PLA-0.2-15-240,0.2,15,240,10,24000
62,PLA-0.2-15-240,0.2,15,240,12.5,1400
63,PLA-0.2-15-240,0.2,15,240,12.5,700
64,PLA-0.2-15-240,0.2,15,240,12.5,600
65,PLA-0.4-5-180,0.4,5,180,5,45500
66,PLA-0.4-5-180,0.4,5,180,7.5,21400
