Strain,Stress,Temperature,Speed,Angle,Height,Fill
0.000000000 ,-0.003831540 ,190,40,0,0.1,70
0.000000000 ,-0.003831540 ,190,40,0,0.1,70
0.000000000 ,-0.003831540 ,190,40,0,0.1,70
-0.000273476 ,-0.003831540 ,190,40,0,0.1,70
-0.000273476 ,-0.003831540 ,190,40,0,0.1,70
-0.000273476 ,-0.003831540 ,190,40,0,0.1,70
-0.000273476 ,-0.003831540 ,190,40,0,0.1,70
-0.000706481 ,-0.003831540 ,190,40,0,0.1,70
-0.000706481 ,-0.003831540 ,190,40,0,0.1,70
-0.000706481 ,-0.003831540 ,190,40,0,0.1,70
-0.001048326 ,-0.003831540 ,190,40,0,0.1,70
-0.001048326 ,-0.003831540 ,190,40,0,0.1,70
-0.001048326 ,-0.003831540 ,190,40,0,0.1,70
-0.001048326 ,-0.003831540 ,190,40,0,0.1,70
-0.001048326 ,0.114946200 ,190,40,0,0.1,70
-0.001048326 ,0.156135300 ,190,40,0,0.1,70
-0.001177468 ,0.187745500 ,190,40,0,0.1,70
-0.001177468 ,0.203263200 ,190,40,0,0.1,70
-0.001177468 ,0.228359800 ,190,40,0,0.1,70
-0.001177468 ,0.263801600 ,190,40,0,0.1,70
-0.000227897 ,0.285832900 ,190,40,0,0.1,70
-0.000227897 ,0.307098000 ,190,40,0,0.1,70
-0.000227897 ,0.341581900 ,190,40,0,0.1,70
0.002127039 ,0.359781700 ,190,40,0,0.1,70
0.002127039 ,0.378556200 ,190,40,0,0.1,70
0.002127039 ,0.405185400 ,190,40,0,0.1,70
0.002127039 ,0.422235800 ,190,40,0,0.1,70
0.002127039 ,0.448290200 ,190,40,0,0.1,70
0.002127039 ,0.481816200 ,190,40,0,0.1,70
0.004861803 ,0.500973900 ,190,40,0,0.1,70
0.004861803 ,0.515342200 ,190,40,0,0.1,70
0.004861803 ,0.537565100 ,190,40,0,0.1,70
0.004861803 ,0.549251400 ,190,40,0,0.1,70
0.008546138 ,0.573773100 ,190,40,0,0.1,70
0.008546138 ,0.599827700 ,190,40,0,0.1,70
0.008546138 ,0.618793800 ,190,40,0,0.1,70
0.012823010 ,0.644082000 ,190,40,0,0.1,70
0.012823010 ,0.671094400 ,190,40,0,0.1,70
0.012823010 ,0.690443600 ,190,40,0,0.1,70
0.012823010 ,0.705769800 ,190,40,0,0.1,70
0.012823010 ,0.726843200 ,190,40,0,0.1,70
0.012823010 ,0.753855600 ,190,40,0,0.1,70
0.016947940 ,0.773779600 ,190,40,0,0.1,70
0.016947940 ,0.796385700 ,190,40,0,0.1,70
0.016947940 ,0.812095000 ,190,40,0,0.1,70
0.016947940 ,0.826080100 ,190,40,0,0.1,70
0.020943740 ,0.857498800 ,190,40,0,0.1,70
0.020943740 ,0.877039600 ,190,40,0,0.1,70
0.020943740 ,0.890450000 ,190,40,0,0.1,70
0.024886360 ,0.920144400 ,190,40,0,0.1,70
0.024886360 ,0.938535900 ,190,40,0,0.1,70
0.024886360 ,0.956352500 ,190,40,0,0.1,70
0.024886360 ,0.987004900 ,190,40,0,0.1,70
0.024886360 ,0.999265700 ,190,40,0,0.1,70
0.024886360 ,1.009036000 ,190,40,0,0.1,70
0.028130090 ,1.028960000 ,190,40,0,0.1,70
0.028130090 ,1.046585000 ,190,40,0,0.1,70
0.028130090 ,1.071873000 ,190,40,0,0.1,70
0.028130090 ,1.094480000 ,190,40,0,0.1,70
0.028130090 ,1.110380000 ,190,40,0,0.1,70
0.030963610 ,1.116511000 ,190,40,0,0.1,70
0.030963610 ,1.127239000 ,190,40,0,0.1,70
0.033895880 ,1.153294000 ,190,40,0,0.1,70
0.033895880 ,1.176474000 ,190,40,0,0.1,70
0.033895880 ,1.192950000 ,190,40,0,0.1,70
0.033895880 ,1.201188000 ,190,40,0,0.1,70
0.033895880 ,1.223028000 ,190,40,0,0.1,70
0.033895880 ,1.239887000 ,190,40,0,0.1,70
0.036569880 ,1.246975000 ,190,40,0,0.1,70
0.036569880 ,1.254446000 ,190,40,0,0.1,70
0.036569880 ,1.274754000 ,190,40,0,0.1,70
0.036569880 ,1.303490000 ,190,40,0,0.1,70
0.039152710 ,1.327820000 ,190,40,0,0.1,70
0.039152710 ,1.342763000 ,190,40,0,0.1,70
0.039152710 ,1.345445000 ,190,40,0,0.1,70
0.041355710 ,1.357706000 ,190,40,0,0.1,70
0.041355710 ,1.373416000 ,190,40,0,0.1,70
